Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,111.99",23.83,1.14,"3,161,455,141.99"
Sensitive Index,402.93,4.54,1.14,"2,842,570,000.00"
Float Index,146.11,1.51,1.04,"3,152,330,000.00"
Sensitive Float Index,133.17,1.44,1.09,"1,741,630,000.00"
Banking SubIndex,"1,387.34",0.92,0.07,"264,865,260.30"
Development Bank Index,"3,807.12",56.00,1.49,"269,206,351.00"
Finance Index,"1,911.16",75.74,4.13,"434,172,327.60"
Hotels And Tourism,"2,791.88",23.87,0.86,"9,169,851.20"
HydroPower Index,"2,513.01",72.35,2.96,"1,052,479,103.60"
Investment,68.15,0.69,1.02,"115,719,440.20"
Life Insurance,"9,935.42",34.79,0.35,"94,451,106.50"
Manufacturing And Processing,"5,369.72",19.66,0.37,"255,137,291.60"
Microfinance Index,"4,843.92",107.73,2.27,"512,889,994.50"
Mutual Fund,14.84,0.02,0.15,"2,957,613.59"
Non Life Insurance,"8,305.63",43.80,0.53,"43,059,460.90"
Others Index,"1,597.15",38.97,2.50,"92,630,261.20"
Trading Index,"2,061.58",-12.04,-0.58,"8,554,494.60"
